Conid,Ticker,NAME,BOG_TH,SOG_TH,,,
11070844,AET,AETNA,0.030466289,-0.029968963,,,
11218575,FLR,FLUOR,0.030506173,-0.034264257,,,
11295,PPG,PPG INDUSTRIES,0.020903532,-0.020532289,,,
11450,PX,PRAXAIR,0.021097546,-0.019992986,,,
272997,COST,COSTCO WHOLESALE,0.018158996,-0.018786672,,,
275321,TROW,T ROWE PRICE GROUP,0.033346154,-0.032560041,,,
2459465,DGX,QUEST DIAGNOSTICS,0.01778903,-0.019394892,,,
11054,PG,PROCTER & GAMBLE,0.013538991,-0.015432606,,,
11080,PGR,PROGRESSIVE OHIO,0.027307918,-0.024545819,,,
11005,PEG,PUB.SER.ENTER.GP.,0.018780488,-0.020184408,,,
11109,PHM,PULTEGROUP,0.05044479,-0.043504995,,,
273544,QCOM,QUALCOMM,0.021473908,-0.023805956,,,
10672,O,REALTY INCOME,0.030570645,-0.029705394,,,
273733,REGN,REGENERON PHARMS.,0.039677165,-0.036598193,,,
4528615,AN,AUTONATION,0.04504947,-0.033453402,,,
11669769,USB,US BANCORP,0.035054945,-0.034639857,,,
273939,ROST,ROSS STORES,0.024647443,-0.022064844,,,
2585629,ROP,ROPER TECHNOLOGIES,0.0237393,-0.02228523,,,
11697,ROK,ROCKWELL AUTOMATION,0.026,-0.026163743,,,
11520,RCL,ROYAL CARIBBEAN CRUISES,0.04021313,-0.041,,,
11758,RTN,RAYTHEON 'B',0.017515765,-0.017151547,,,
11478,R,RYDER SYSTEM,0.029350676,-0.028165834,,,
12362013,ADS,ALLIANCE DATA SYSTEMS,0.028688232,-0.031826365,,,
12379601,FTI,FMC TECHNOLOGIES,0.031437309,-0.032258743,,,
12588744,COL,ROCKWELL COLLINS,0.02,-0.02022449,,,
2467215,STJ,ST.JUDE MEDICAL,0.021766954,-0.021957108,,,
43150617,TRV,TRAVELERS COS.,0.028204013,-0.024276139,,,
37866641,FIS,FIDELITY NAT.INFO.SVS.,0.024,-0.021438573,,,
70101545,MRK,MERCK & COMPANY,0.019594189,-0.021319328,,,
4651842,PCLN,PRICELINE GROUP,0.030131573,-0.030284553,,,
12200,SLB,SCHLUMBERGER,0.025081967,-0.028684054,,,
11905,SCHW,CHARLES SCHWAB,0.031,-0.03116775,,,
12851783,ZBH,ZIMMER BIOMET HDG.,0.019792494,-0.019707216,,,
1714996,ABC,AMERISOURCEBERGEN,0.019,-0.020474359,,,
11032,PFG,PRINCIPAL FINL.GP.,0.051421166,-0.056804731,,,
12120,SHW,SHERWIN-WILLIAMS,0.024,-0.019994372,,,
2009113,SPG,SIMON PROPERTY GROUP,0.040623385,-0.036385093,,,
12259,SNA,SNAP-ON,0.023,-0.022492147,,,
13865082,PRU,PRUDENTIAL FINL.,0.052325858,-0.053095694,,,
4027,AAP,ADV.AUTO PARTS,0.025459245,-0.022280899,,,
12531,SWN,SOUTHWESTERN ENERGY,0.043805116,-0.041494781,,,
11899,EIX,EDISON INTL.,0.017,-0.019135368,,,
12300,SO,SOUTHERN,0.013294001,-0.014318349,,,
2806100,BBT,BB&T,0.038491228,-0.038259565,,,
9282,LUV,SOUTHWEST AIRLINES,0.025385795,-0.029007752,,,
37018770,T,AT&T,0.017536946,-0.01873913,,,
5684,CVX,CHEVRON,0.019289536,-0.019569403,,,
274599,SPLS,STAPLES,0.027,-0.025639344,,,
2730980,STT,STATE STREET,0.043415478,-0.042275521,,,
274105,SBUX,STARBUCKS,0.027659389,-0.023296651,,,
12002,PSA,PUBLIC STORAGE,0.034266416,-0.028453184,,,
4430948,SYK,STRYKER,0.017,-0.019447244,,,
15124833,NFLX,NETFLIX,0.04083827,-0.03388263,,,
6478100,SRCL,STERICYCLE,0.020345451,-0.01834381,,,
12451,STI,SUNTRUST BANKS,0.051150021,-0.047785614,,,
274925,SYMC,SYMANTEC,0.023751174,-0.022742616,,,
12581,SYY,SYSCO,0.016692112,-0.017885108,,,
9063285,ISRG,INTUITIVE SURGICAL,0.03031038,-0.02786374,,,
12687,TE,TECO ENERGY,0.018,-0.019668693,,,
13011,TSO,TESORO,0.036712071,-0.038558698,,,
13096,TXN,TEXAS INSTRUMENTS,0.023,-0.021442308,,,
13101,TXT,TEXTRON,0.037797166,-0.042563906,,,
12869,TMO,THERMO FISHER SCIENTIFIC,0.020295153,-0.021736182,,,
12791,TIF,TIFFANY & CO,0.031477215,-0.028906784,,,
12856,TMK,TORCHMARK,0.031131455,-0.029985714,,,
13014,TSS,TOTAL SYSTEM SERVICES,0.024476384,-0.020904737,,,
1035459,DVA,DAVITA HEALTHCARE PTNS.,0.020655172,-0.019203309,,,
6858322,TSCO,TRACTOR SUPPLY,0.027170785,-0.025954023,,,
275405,TSN,TYSON FOODS 'A',0.028586572,-0.030075671,,,
9831,MRO,MARATHON OIL,0.028776301,-0.034435731,,,
13284,UNP,UNION PACIFIC,0.025087141,-0.02578039,,,
13364,UTX,UNITED TECHNOLOGIES,0.01686021,-0.018117145,,,
13272,UNH,UNITEDHEALTH GROUP,0.027628661,-0.028319842,,,
13206,UHS,UNIVERSAL HEALTH SVS.'B',0.025,-0.024631375,,,
13400,VAR,VARIAN MEDICAL SYSTEMS,0.020816568,-0.023895815,,,
4044062,VTR,VENTAS,0.033,-0.039755708,,,
13440,VFC,V F,0.02268973,-0.02296727,,,
275850,VRTX,VERTEX PHARMS.,0.035,-0.03395986,,,
13515,VMC,VULCAN MATERIALS,0.036,-0.030391208,,,
275527,URBN,URBAN OUTFITTERS,0.033740718,-0.03074412,,,
13535,VNO,VORNADO REALTY TRUST,0.038263969,-0.038938924,,,
13824,WMT,WAL MART STORES,0.015,-0.01473913,,,
13379,WM,WASTE MANAGEMENT,0.017373826,-0.019716724,,,
1448494,WAT,WATERS,0.022432169,-0.020213898,,,
15130038,SJM,J M SMUCKER,0.015316433,-0.016264534,,,
13681,WDC,WESTERN DIGITAL,0.033,-0.033928105,,,
13949,WY,WEYERHAEUSER,0.027,-0.029,,,
13751,WHR,WHIRLPOOL,0.032168178,-0.031814819,,,
4726021,SWKS,SKYWORKS SOLUTIONS,0.034811189,-0.036643154,,,
16454492,WYNN,WYNN RESORTS,0.043971532,-0.041576071,,,
