Conid,Ticker,NAME,BOG_TH,SOG_TH,Primary Exchange
11240,PNC,PNC FINL.SVS.GP.,0.039882891,-0.036716298,NYSE
11070844,AET,AETNA,0.030466289,-0.029968963,NYSE
11218575,FLR,FLUOR,0.030506173,-0.034264257,NYSE
11295,PPG,PPG INDUSTRIES,0.020903532,-0.020532289,NYSE
11450,PX,PRAXAIR,0.021097546,-0.019992986,NYSE
272997,COST,COSTCO WHOLESALE,0.018158996,-0.018786672,NASDAQ
275321,TROW,T ROWE PRICE GROUP,0.033346154,-0.032560041,NASDAQ
2459465,DGX,QUEST DIAGNOSTICS,0.01778903,-0.019394892,NYSE
11054,PG,PROCTER & GAMBLE,0.013538991,-0.015432606,NYSE
11080,PGR,PROGRESSIVE OHIO,0.027307918,-0.024545819,NYSE
11005,PEG,PUB.SER.ENTER.GP.,0.018780488,-0.020184408,NYSE
11109,PHM,PULTEGROUP,0.05044479,-0.043504995,NYSE
273544,QCOM,QUALCOMM,0.021473908,-0.023805956,NASDAQ
10672,O,REALTY INCOME,0.030570645,-0.029705394,NYSE
273733,REGN,REGENERON PHARMS.,0.039677165,-0.036598193,NASDAQ
4528615,AN,AUTONATION,0.04504947,-0.033453402,NYSE
11669769,USB,US BANCORP,0.035054945,-0.034639857,NYSE
273939,ROST,ROSS STORES,0.024647443,-0.022064844,NASDAQ
2585629,ROP,ROPER TECHNOLOGIES,0.0237393,-0.02228523,NYSE
11697,ROK,ROCKWELL AUTOMATION,0.026,-0.026163743,NYSE
11520,RCL,ROYAL CARIBBEAN CRUISES,0.04021313,-0.041,NYSE
11758,RTN,RAYTHEON 'B',0.017515765,-0.017151547,NYSE
11478,R,RYDER SYSTEM,0.029350676,-0.028165834,NYSE
12362013,ADS,ALLIANCE DATA SYSTEMS,0.028688232,-0.031826365,NYSE
12379601,FTI,FMC TECHNOLOGIES,0.031437309,-0.032258743,NYSE
12588744,COL,ROCKWELL COLLINS,0.02,-0.02022449,NYSE
2467215,STJ,ST.JUDE MEDICAL,0.021766954,-0.021957108,NYSE
